ID,Language_ID,Headword,Part_Of_Speech,Comment,Cyrillic,Entry_IDs,Genitive_Form,Imperative_Form,Media_IDs,Morphology,Oblique_Form,Past_Tense,Plural_Form,PoS_Russian,Present_Tense,Variant_Form
-a_2,dar,-a,n.suf,"spatial case 'on, in, at, by'",-a,,,,,,,,,сущ. суф,,-aˁ
-a_3,dar,-a,v.suf,,-a,,,,,,,,,гл. суф,,-aˁ
-a_4,dar,-a,v.suf,,-a,,,,,,,,,гл. суф,,-aˁ
-a_5,dar,-a,num.suf,"derivation of group numerals; occurs only together with a gender marker, e.g. -b-a, -d-a",-a,,,,,,,,,числ. суф,,
a,dar,a,conj,Russian loan,a,,,,25aa8f0036d8ea3f0dfb97b9fa45b0d8,,,,,союз,,
a-,dar,a-,v.pref,Becomes e- before i- (a-i- > e-),а-,,,,,,,,,гл.преф,,aˁ-
-ab,dar,-ab,v.suf,,-аб,,,,,,,,,гл. суф,,
aba,dar,aba,n,,аба,,,,8be3fcbc4bdeb403a4fc7f132bbeee5b,,,,abne,сущ.,,
ababa,dar,ababa,n,this is a contracted version of aba-la aba 'mother's mother (mother-GEN mother); this seems to be a newly made word used by young people,абаба,,,,1141609964b6a1b80a646020de67042f,,,,,сущ.,,
LX000001,dar,abacːi,n,this seems to be a newly made word used by young people,абацци,,,,0d9f65efff2ce0f7e1a2b18545cdb075,,,,abacːibe,сущ,,
abadex,dar,abadex,n,,абадехь,,,,58b6c7f2809968c96d0fe0a7776b8dbf,aba-dex,,,,сущ,,
abaltij,dar,abaltij,v,"negation of the verb b-alt-ij 'let, allow'",абалтий,,,,,a-b-alt-ij,,,,гл,baltul,
LX000002,dar,abalχul,adv,imperfective converb of the verb 'know',абалхул,,,,cd73c971a2c59da44bcc8d1f24ee35a5,a-b-alχ-ul,,,,нареч,,
abazi,dar,abazi,n,this seems to be a newly made word used by young people,абази,,,,1457d0d09ef2dc5e63ac6afa34b749bb,,,,abazibe,сущ,,
abdal,dar,abdal,n,,абдал,,,,88d4ad7cca23b4abb5e784181fba68e1,,,,abdalte,сущ,,
abdalce,dar,abdalce,adj,,абдалце,,,,e78720455446f8ed8a0dfc576185cfca,abdal-ce,,,,прил,,
abdaldex,dar,abdaldex,n,,абдалдехь,,,,c0d4e81760470e226743a9b5cfee3aa0,abdal-dex,,,,сущ,,
LX000003,dar,abercʼibil,adj,"preterite participle of the verb 'bake, fry, ripen'",аберцIибил,,,,a53e9f4a19b66b3cca6bfb86c0eadb98,a-b-ercʼ-ib-il,,,,прил,,
LX000004,dar,abičːaqij,v,the audio has the masculine singular form ajčːaqij; normally used with respect to human beings; causative,абиччахъий,,,,62f7b8e106eafa858de11ba27eb8b1ae,a-b-ikː-aq-ij,,,,гл,abičːaqul,
LX000005,dar,abikːan ažij,v,,абиккан ажий,,,,69083ad19cdd3bc5364993663295a05e,a-b-ikː-an--ag-ij,,abikːan agur,,гл,,
LX000006,dar,abiqʼuril,adj,,абикьурил,,,,c2ca3f7602ce6c69f5efec473e8a48de,a-b-iq'-ur-il,,,,прил,,
LX000007,dar,abratʼna,adv,Russian loan,абратIна,,,,ddd0d3fa6d3ce08f48d248deb04e50dd,,,,,нареч ; нареч,,
LX000008,dar,abšːij,v,this verb is less often used than ač barqʼij,абшший,,,abxːa!,609954edc3067c8ae1d5177a91c60d24,abxː-ij,,abšːib,,гл,,
abtabuz,dar,abtabuz,n,Russian loan word,абтабуз,,,,7537e1a6ebcc20f114bd375d02bde866,,,,abtabuze,сущ,,
LX000009,dar,abucːan,adj,,абуццан,,,,dbf27da67b3f6ec8b4d3a2373deb025d,a-b-ucː-an,,,,прил,,
LX000010,dar,abucːan biχʷij,v,intransitive,абуццан бихвий,,,,1aef9c12b1d981e5a264fd1e65f5f037,a-b-ucː-an--b-iχʷ-ij,,abucːan biχ,,гл,,
aburqibce,dar,aburqibce,adj,,абурхъибце,,,,17eea26849860e4290281f8006dd5938,a-b-urq-ib-ce,,,,прил,,
LX000011,dar,abuχar,adv,diachronically this is a conditional verb form,абухар,,,,3a80e231c7247cba05200c9fd725d16c,a-b-uχ-ar,,,,нареч,,
LX000012,dar,abχij,v,No agreement marker,абхий,,,Abχa!,d93ee464cf0ecbb3fee075ae4e62c8ab,abχ-ij,,abχib,,гл,,
LX000013,dar,abχːa,n,,абхха,,,,07a9962c033155069e6d69aef5e5dfe8,,,,abχne,сущ,,
LX000014,dar,acːi,n,used as a polite address term for older men,ацци,,,,bf89088da90de3a1166b21f57b4d7b4a,,,,acne,сущ,,
LX000015,dar,ač,prev,Turkic loan,ач,,,,19ce172d18d1c8708987b913fa008ccb,,,,,прг,,
LX000016,dar,ač barqʼij,v,No agreement prefix before the preverb.,ач баркьий,,,Ačbarqʼa!,e502fbd21437ffcb00249c0d1b896772,ač--b-arqʼ-ij,,ačbarqʼib,,гл,,
LX000017,dar,ač birqʼij,v,"No agreement prefix before the preverb. ; tr., e.g. books, doors",ач биркьий,,,,f9c9111ddcff5bce876cd55e76bd7aa9,ač--b-irqʼ-ij,,,,гл,ač birqʼul,
LX000018,dar,ač birχʷij,v,No agreement prefix before the preverb. ; intr.,ачбирхвий,,,Ačbirχʷe!,509e4c4cf46646329d7a6ad43b03f47a,ač--b-irχʷ-ij,,,,гл,ačbirχul,
LX000019,dar,ač biχʷij,v,intransitive,ач бихвий,,,,4f3c8f9e5c0e641d402374e0d2630ed6,ač--b-iχʷ-ij,,,,гл,,
LX000020,dar,ač sabirχʷij,v,intransitive verb,ач сабирхвий,,,,8fd5dd46c030acbe466bb532aaae2b33,ač--sa-b-irχʷ-ij,,,,гл,ač sabirχul,
LX000021,dar,ačce,adj,,ачце,,,,e6a75d1d178d18513bb1625d746afee8,ač-ce,,,,прил,,
LX000022,dar,ačle,adv,,ачле,,,,380d59ec4d8ee25a19408d0b69833276,ač-le,,,,нареч,,
LX000023,dar,ačːaqij,v,"causative, no agreement prefix; 'meet a goal'",аччахъий,,,ačːaqa!,313d59ac02752b19f4e48a2b2cfc038d,akː-aq-ij,,ačːaqib,,гл,,
LX000024,dar,ačːij,v,intransitive verb 'meet a goal'; no agreement prefix,аччий,,,ačːe!,b0433cbe8566ef6ac00f23b523c44f55,akː-ij,,ačːib,,гл,,
LX000025,dar,ačːutʼ,n,Russian loan,аччутI,,,,72edf30b60b77fa7bf5398d0ad864dc7,,,,ačːutʼe,сущ,,
LX000026,dar,ačʼi,n,gender agreement NPL (d marker),ачIи,,,,c29ada22c1e4621362c1c028dc3590dc,,,,,сущ,,
LX000027,dar,ačʼilla udara,n,,ачIилла удара,,,,c0fed3f1ea6ff09537d8dfff1411921e,ačʼi-l-la--udara,,,ačʼilla udre,сущ,,
adab,dar,adab,n,Arabic loan,адаб,,,,b230b6a65715dfa4a74af584fe97a071,,,,,сущ,,
adabdex,dar,adabdex,n,Arabic loan,адабдехь,,,,b0572c961a44f2fac5a43e6de1b90523,adab-dex,,,,сущ,,
Adam,dar,Adam,n,male name,Адам,,,,83922bfb88266447423e15b8459ec004,,,,,собств,,
-adi,dar,-adi,v.suf,,-ади,,,,,,,,,гл. суф.,,
adimtalla,dar,adimtalla,adj,"this is the genitive plural form of the word 'man, person'",адимталла,,,,c1f931a37511002dc385569c0f8785c2,admi-t-a-la,,,,прил,,admila
admi,dar,admi,n,,адми,,,,91247217e376e628350de4adafe3559c,,,,adimte,сущ ; сущ,,
admidex,dar,admidex,n,,адмидехь,,,,fc7a4b73d129adea29c703eaab86bc96,admi-dex,,,,сущ,,
admila,dar,admila,adj,"genitive singular form of the noun 'man, person'",адмила,,,,cce58a99efd693a90515eb4988d4c72c,admi-la,,,,прил,,adimtalla
agranum,dar,agranum,n,Russian loan,агранум,,,,3b89346346fb04b4ae06cf9a559ae973,,,,agranumte,сущ,,
agurce,dar,agurce,adj,preterite participle of the verb 'go',агурце,,,,8264a4c2a5bdfd783a6a94b92b24b47b,ag-ur-ce,,,agurte,прил,,
aguril,dar,aguril,adj,preterite participle of the verb 'go',агурил,,,,15348aa504ae54c618d772383030f1d9,ag-ur-il,,,,прил,,
ahaqij,dar,ahaqij,v,causative verb,агьахъий,,,,8f3e96d21de037062d87a6373842de05,ah-aq-ij,,ahaqun,,гл,,
LX000028,dar,ahi bikʼul bisːij,v,the audio has the masculine singular form ahi ikʼul wisːij,агьи бикIул биссий,,,,4a56cde3ce3bee5aeb711fe3661859d7,ahi--b-ikʼʷ-ul--b-isː-ij,,ahi bikʼul bisːib,,гл,ahi bikʼul bisːul,
ahij,dar,ahij,v,intransitive,агьий,,,,91b3a8a9c2fb2ffcbe59ac91381e1ea2,ah-ij,,ahun,,гл,,
-aj_1,dar,-aj,v.suf,,-ай,,,,,,,,,гл. суф,,
-aj_2,dar,-aj,v.suf,second person plural of certain verb forms (e.g. optative),-ай,,,,,,,,,гл. суф,,
-aja,dar,-aja,v.suf,,-ая,,,,,,,,,гл. суф,,
LX000029,dar,akbar kerʡan,n,lit. 'the one who says the akbar',акбар кергIан,,,,95e0198562dcc11985f4cd82773bca2c,akbar--ka-erʡ-an,,,akbar kerʡante,сущ,,
LX000030,dar,aktaˁbir,n,Russian loan,актябир,,,,d2dab3d37560da337ed0b949b8fb99cd,,,,,сущ,,
LX000031,dar,akːu,cop,this is the third person present tense form of the negated copula (stem: b-akːʷ-); when used with agreement prefixes it has existential meaning and the first vowel is long and stressed; otherwise used as copula or auxiliary in periphrastic verb forms; it is also used as rejection particle 'no',,,,,eb57101dbaba995f1ac3b12894282efa,akː-u,,,,связ,,
LX000032,dar,akːutʼ biχʷij,v,"the audio has the masculine singular form akːutʼ iχʷij; the origin of the first part is unclear, it might be related to the negative copula",аккутI бихвий,,,,84f330ab0c52594358cc18f9cfbc8a64,akːutʼ--b-iχʷ-ij,,akːutʼ biχub,,гл,,
LX000033,dar,akːʷar,cop,this is the future form of the negated copula (stem: b-akːʷ-); it is used like an adposition with the meaning 'without',акквар,,,,352fa7ba9050ce87b1de0906b8343881,akːʷ-ar,,,,связ,,
LX000034,dar,akːʷardex,n,,акквардехь,,,,6534e6e8e38f26b58deb5be4611d0eca,akːʷ-ar-dex,,,,сущ,,
