ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_IDs,Sense_IDs,alt_translation1,original_script
XV000001,dar,Misa buca!,,,Shut your mouth!,,,,SN000002 ; SN003274,Рот держи!,Миса буца!
XV000002,dar,"Dam čaʁir dičːaqid, a at ce dičːaqitːe?",,,"I like wine, and what do you like?",,,d7f5be7269c8e1f45270b1451a80ebec,SN000005,"Я вино люблю, а ты что любишь?","Дам чагъир диччахъид, а ат це диччахъитте?"
XV000003,dar,Dam ričːaqid dila aba.,,,I love my mother.,,,e0611a699fd5c0529a61906f67ad716f,SN000008,Я люблю свою маму.,Дам риччахъид дила аба.
XV000004,dar,Dila ababa ruqnace car.,,,My grandmother is old.,,,0d14c79e2b67324e9f509ebe5b3a0b48,SN000009,Моя бабушка старая.,Дила абаба рухънаце цар.
XV000005,dar,Het durħuˁ abdalde.,,,That boy was a fool.,,,f8b2f9b66ed815cc39982262b46e3652,SN000015,Тот мальчик был дурной.,Гьет дурхIё абдалде.
XV000006,dar,abikːan agri,,,insult; resentment,,,,SN000020,обида,абиккан агри
XV000007,dar,dul tuken beralleb abšːibda.,,,I opened the store at 7:00.,,,19a08c729adca213fcb8472888f43971,SN000024,я открыл магазин в 7 часов.,дул тукен вераллеб абшшибда.
XV000008,dar,Du Derbentle waxud abtabuzlicːella.,,,I go to Derbent by bus.,,,72c8a430d9ac84868833f93205e2fecd,SN000025,Я еду в Дербент автобусом.,Ду Дербентле вахьуд абтабузлиццелла.
XV000009,dar,abuχar dul at kiniga alukːanda.,,,"And if so, I won't give you the book.",,,852d55140edaf6869073d36342510f8b,SN000029,"а если так, то я тебе книгу не отдам.",абухар дул ат кинига алукканда.
XV000010,dar,Abal abχib dila bekʼ.,,,Mother combed my hair. (lit. 'my head'),,,1119f21dca6afccc63834e4ba227dc3c,SN000030,Mама причёсала мою голову.,Абал абхиб дила бекI.
XV000011,dar,Čaˁʡaˁl serʁu dila acːi.,,,Tomorrow my uncle will come.,,,c08dfa7639b004e0bf2fe2b160caa894,SN000032,Завтра придет мой дядя.,ЧягIял сергъу дила ацци.
XV000012,dar,Dul uncːa ač barqʼibda.,,,I opened the door.,,,3d0e2a4de4b5b4bed435e3afa832ed39,SN000034,Я дверь открыла.,Дул унцца ач баркьибда.
XV000013,dar,Uncːa ač mabirqʼit!,,,Don't open the door!,,,a025f34a3615387a0f16377eadf4c285,SN000035,Не открывай двери!,Унцца ач мабиркьит!
XV000014,dar,Uncːa ač birχul cab.,,,The door is opening / opens.,,,51a437833d4f267b557501dedcb4d287,SN000036,Двери открываются.,Унцца ач бирхул цаб.
XV000015,dar,Uncːa ačle cab.,,,The door is open.,,,deb5a6ad3abfbfe8247485d90ee8b403,SN000040,Дверь открыта.,Унцца ачле цаб.
XV000016,dar,dul qːarqːa šušacːe ačːaqibda.,,,I hit the bottle with a stone.,,,58e52a50b2170c6c665f3d50ee3e4396,SN000041,я камень в бутылку попал.,дул къаркъа шушацце аччахъибда.
XV000017,dar,qːarqːa šušacːe ačːib,,,The stone hit the bottle.,,,3be9e1ef04ced8966fab4c8812aa0e27,SN000042,Камень попал в бутылку.,къаркъа шушацце аччиб
XV000018,dar,Ižalla ʡaˁčilla ačːutʼ barqʼibdew?,,,Have you / they done the report of today's work?,,,7f58135315d26d97bc7701a70622c007,SN000043,Сегодняшние работы отчёт сделали?,Ижалла гIячилла аччутI баркьибдев?
XV000019,dar,Nušːal daxunda ačʼi.,,,We have sown wheat.,,,6c0686dde49d4e45c6c0d1705c4819a3,SN000044,Мы посеяли пшеницу.,Нушшал дахьунда ачIи.
XV000020,dar,Dam ca ačʼilla udara abičib.,,,I didn't get (even) one grain.,,,a8c756e7eae124f75eaad7206d0f54a1,SN000045,Мне одно зёрнышко не попалось.,Дам ца ачIилла удара абичиб.
XV000021,dar,Nišːišːub lebde xujal admi.,,,There were five people at our place.,,,6181bc051e2223d706214f0f7e4f3688,SN000051,У нас были пять человек.,Нишшишшуб лебде хьуял адми.
XV000022,dar,admila naˁq,,,human hand,,,a9a24ea607df3fd6b8d9c50ed885118a,SN000051,человеческая рука,адмила няхъ
XV000023,dar,Dila acːi agranum caw.,,,My uncle is an agronomist.,,,441098dd0c02b40689278fc32862eed7,SN000055,Мой дядя – агроном.,Дила ацци агранум цав.
XV000024,dar,azil lampučkːa ahaqun,,,The aunt lit the light.,,,e253aa232d8cef624a641406107ba280,SN000058,тетя лампочку зажгла,азил лампучкка агьахъун
XV000025,dar,Iž welisiped dila akːu.,,,This bicycle is not mine.,,,74c21ac635ec7ada8df8d66e772384f1,SN000066,Этот велосипед не мой.,Иж велисипед дила акку.
XV000026,dar,Iž mašina dila akːu.,,,"This car is not mine,",,,2ea7a9c46cd11d2cabd1960f87a7e13a,SN000066,Эта машина не моя.,Иж машин дила акку.
XV000027,dar,Ižal bari bakːu.,,,Today there is no sun.,,,af6b292e6c9b48ad74711a49d81f2522,SN000066 ; SN000365,Сегодня солнце нет.,Ижал бари бакку.
XV000028,dar,ustʼulled χurejg akːutʼ diχub,,,The food on the table disappeared.,,,c2f490b9aabe0b094d534b48c34eb75d,SN000067,Еда на столе исчезла.,устIуллед хурейг аккутI дихуб
XV000029,dar,iqʼbal akːʷar,,,unfortunate (person) (lit. without luck),,,a3936ea3f011f04897e16fccaef92510,SN000068,человек без удачи,икьбал акквар
XV000030,dar,It admi arc akːʷar caw.,,,That person is someone who has no money.,,,d818d6752a9c9fa9c95fc3a8fe24e972,SN000068,"Этот человек, у которого нет денег.",Ит адми арц акквар цав.
XV000031,dar,Nizam akːʷarillew eriχʷij bikːadi.,,,I want to live there where Nizam does not live. (lit. there where he is not).,,,45a31ae93965999fb72fac213f4382e4,SN000068,"Хотел бы жить, где нет Низама.",Низам акквариллев эрихвий биккади.
XV000032,dar,Iž qal dila akːʷi.,,,This house wasn't mine.,,,ab90c9578102b49d9891884df5ef7852,SN000070,Этот дом не был мой.,Иж хъал дила аккви.
XV000033,dar,It kiniga dila akːʷel.,,,This book might be mine.,,,13660e2e22d42b65b442a8cfdedc2e94,SN000070,Не мая ли эта книга?,Ит кинига дила акквел.
XV000034,dar,Ala rursːij ča bikʼuja?,,,What is your daughter's name? (lit. 'Who is your daughter?'),,,94ae968a0cf90a13041939d2d4987da4,SN000075,Твою дочку как звать?,Ала рурссий ча бикIуя?
XV000035,dar,Dila alaw hin cad.,,,There is water around me.,,,4cd333b75c8452fa07bb3e45c62ab40d,SN000076,Вокруг меня вода.,Дила алав гьин цад.
