ID,Description,Entry_ID,Comment,Media_IDs,Semantic_Domain,alt_translation1
SN000001,[spatial case suffix],-a_2,,,,[локализация]
SN000002,[imperative singular suffix],-a_3,,,,[императив единственное число]
SN000003,[habitual past],-a_4,,,,[хабитуальное прошедшее время]
SN000004,[derivational suffix for group numerals],-a_5,,,,[числа суффикс]
SN000005,but; and,a,,,Loanword,а
SN000006,[negation suffix]; not,a-,,,,[отрицание]; не
SN000007,[optative suffix],-ab,,,,[оптатив]
SN000008,mother,aba,,,Kinship,мать
SN000009,granny; mother's mother,ababa,,,Kinship,бабушка
SN000010,uncle,LX000001,,,Kinship,дядя
SN000011,motherhood; maternity,abadex,,,,материнство
SN000012,forbid (imperfective aspect); ban (imperfective aspect); prohibit (imperfective aspect),abaltij,,,,запрещать
SN000013,accidentally,LX000002,,,,случайно
SN000014,aunt,abazi,,,Kinship,тетя; сестра матери
SN000015,fool,abdal,,,,глупец
SN000016,stupid; foolish; crazy; insane,abdalce,,,,дурной; глупый; безумный; сумасшедший
SN000017,stupidity; madness; insanity,abdaldex,,,,глупость; дурость; сумасшествие
SN000018,unripe; immature,LX000003,,,,неспелый; незрелый
SN000019,hate (imperfective aspect),LX000004,,,,ненавидеть
SN000020,become offended (perfective aspect); feel insulted (perfective aspect),LX000005,,,,оскорбиться
SN000021,unripe; immature,LX000006,,,,неспелый; незрелый
SN000022,back,LX000007,,,Loanword,обратно
SN000023,again,LX000007,,,Loanword,обратно
SN000024,open (perfective aspect),LX000008,,,,открывать
SN000025,bus,abtabuz,,,Loanword,автобус
SN000026,inoperative; spoiled; not working,LX000009,,,,нерабочий; испорченный
SN000027,spoil (perfective aspect),LX000010,,,,испортиться; перестать работать
SN000028,not castrated,aburqibce,,,,не кастрированный
SN000029,if so; then,LX000011,,,,а если так то; тогда
SN000030,comb (perfective aspect),LX000012,,,,причесать; расчесать
SN000031,thicket; bush,LX000013,,,,чащоба
SN000032,uncle,LX000014,,,Kinship,дядя
SN000033,open,LX000015,,,Loanword,открыто
SN000034,open (perfective aspect); unlock (perfective aspect),LX000016,,,,открыть; отпереть
SN000035,open (imperfective aspect); unlock (imperfective aspect),LX000017,,,,открывать; отпирать
SN000036,open (imperfective aspect),LX000018,,,,открываться
SN000037,open (perfective aspect),LX000019,,,,открываться
SN000038,unfold (imperfective aspect); be revealed (imperfective aspect); open (imperfective aspect),LX000020,,,,раскрываться
SN000039,open,LX000021,,,,открытый
SN000040,publicly; openly; open,LX000022,,,,открыто
SN000041,hit (perfective aspect); meet (perfective aspect),LX000023,,,,попасть
SN000042,get into (perfective aspect); hit upon (perfective aspect); hit (perfective aspect),LX000024,,,,попадать
SN000043,report,LX000025,,,Loanword,отчёт
SN000044,wheat,LX000026,,,Plant; Food,пшеница
SN000045,granule; grain; corn; seed,LX000027,,,Plant; Food,зёрнышко
SN000046,moral; ethics,adab,,,Loanword,мораль; этика
SN000047,decency; modesty,adabdex,,,Loanword,приличие; благопристойность
SN000048,Adam,Adam,,,Name,Адам
SN000049,[first person habitual past],-adi,,,,[первое лицо хабитуальное прошедшее время]
SN000050,human,adimtalla,,,,человеческий
SN000051,person; human being,admi,,,Loanword,человек
SN000052,man,admi,,,Loanword,мужчина
SN000053,humanity,admidex,,,,человечность
SN000054,human,admila,,,,человеческий
SN000055,agronomist,agranum,,,Profession; Loanword,агроном
SN000056,result; outcome; past,agurce,,,,результат; прошедший
SN000057,result; outcome; past,aguril,,,,результат; прошедший
SN000058,light (perfective aspect); lit (perfective aspect); turn on (perfective aspect),ahaqij,,,,зажечь; зажигать
SN000059,sob violently; cry bitterly,LX000028,,,,плакать навзрыд
SN000060,burn (perfective aspect); turn on (perfective aspect),ahij,,,,гореть
SN000061,[imperative plural suffix],-aj_1,,,,[императив множественное число]
SN000062,[second person plural],-aj_2,,,,[второе лицо множественное число]
SN000063,[imperative plural suffix],-aja,,,,[императив множественное число]
SN000064,Mu'adhin,LX000029,,,,муэдзин
SN000065,October,LX000030,,,Time; Loanword,октябрь
SN000066,not be (present tense),LX000031,,,,отсутствовать; нет; не
SN000067,disappear (perfective aspect); vanish (perfective aspect),LX000032,,,,исчезать
SN000068,without; lack; not being,LX000033,,,,без; нет
SN000069,lack; absence,LX000034,,,,отсутствие
SN000070,not be (past tense),LX000035,,,,не был
SN000071,[indirect question clitic],LX000036,,,,[вопросительная клитика]
SN000072,[derivational clitic for the formation of indefinite pronouns],LX000037,,,,[словообразовательный суффих]
SN000073,[suffix for the derivation of numerals],-al_3,,,,[числа суффикс]
SN000074,[nominalizer],-ala,,,,[номинализатор]
SN000075,[second person singular genitive]; your,ala,,,,твой
SN000076,around,alaw,,,,вокруг
SN000077,enclose (perfective aspect); fence in (perfective aspect); wrap (perfective aspect),LX000038,,,,огородить; обертывать
SN000078,enclose (imperfective aspect); fence in (imperfective aspect); wrap (imperfective aspect),LX000039,,,,огородить; обертывать
SN000079,enclose (perfective aspect); fence in (perfective aspect); barricade (perfective aspect),LX000040,,,,загородить; обертывать
SN000080,around,alawle,,,,кругом
SN000081,round; around,alawleb,,,,кругом
SN000082,light (imperfective aspect); lit (imperfective aspect); turn on (imperfective aspect),alhaqij,,,,зажечь; зажигать
SN000083,butterfly,LX000041,,,Animal,бабочка
SN000084,bird,LX000042,,,Animal,птица
SN000085,flying,LX000043,,,,летающий
SN000086,Sunday,LX000044,,,Time,воскресенье
SN000087,cherry-plum; plum,LX000045,,,Plant; Food; Loanword,алыча; слива
SN000088,Allah; God,Allah,,,Religion & Mythology; Loanword,Аллах; бог
SN000089,ladybug,LX000046,,,Animal,божья коровка
SN000090,[first person conditional],-alle,,,,[первое лицо условный показатель]
SN000091,diamond,almaz,,,Loanword,алмаз
SN000092,stick (imperfective aspect); stab (imperfective aspect),LX000047,,,,втыкать
SN000093,stick into (imperfective aspect); pin (imperfective aspect); prick (imperfective aspect),LX000048,,,,вставлять; тыкать
SN000094,saw,LX000049,,,Tool,пила
SN000095,heaven,LX000050,,,Religion & Mythology,рай
SN000096,pledge; security,amanat,,,Loanword,залог
SN000097,Aminat,Aminat,,,Name,Аминат
SN000098,Amir,Amir,,,Name,Амир
SN000099,but,amma,,,Loanword,но
SN000100,but,ammaki,,,Loanword,но
SN000101,donkey,LX000051,,,Animal,осёл
SN000102,puffball,LX000052,,,Plant,вид гриба
SN000103,man behaving like a donkey,LX000053,,,,"человек, ведущий себя, словно осел"
SN000104,clean,amzuce,,,,чистый
SN000105,cleanness,amzudex,,,,чистота
SN000106,[locative participle],-an_1,,,,[меснтое причастие]
SN000107,[third person conditional],-an_2,,,,[третье лицо условный показатель]
SN000108,[obligative/modal/future participle],-an_3,,,,[модальное причастие / причастие обязательства / будущее время]
SN000109,[third person subjunctive suffix],-anaj,,,,[третье лицо сослагательное наклонение]
SN000110,[imperative plural suffix],LX000054,,,,[императив множественное число]
SN000111,garden,anq,,,Housing & Lifestyle,сад
SN000112,forehead,LX000055,,,Body part,лоб
SN000113,officer; commander,LX000056,,,Profession; Loanword,офицер
SN000114,sawdust; filings,LX000057,,,Loanword,опилка
SN000115,operation; surgery,LX000058,,,Loanword,операция
SN000116,high,aq,,,,высоко; под-
SN000117,[causative suffix],-aq,,,,[каузатив суффикс]
SN000118,lift (perfective aspect); pick up (perfective aspect),LX000059,,,,поднять
SN000119,lift (imperfective aspect); pick up (imperfective aspect),LX000060,,,,поднимать
SN000120,climb (perfective aspect); rise up (perfective aspect); get up (perfective aspect),LX000061,,,,подниматься; подняться; повышаться
SN000121,raise (perfective aspect); wake up (perfective aspect); pick up (perfective aspect),LX000062,,,,поднять
SN000122,get up (perfective aspect); wake up (perfective aspect),LX000063,,,,вставать
SN000123,summit; top; peak,aqanaj,,,,вершина
SN000124,kind of apricot,aqbazan,,,Plant; Food,абрикос; крупный
SN000125,tall; high; loud,aqce,,,,высокий; громкий
SN000126,height; altitude; growth,aqdex,,,,высота; рост
SN000127,go through (perfective aspect),aqij,,,,пройти
SN000128,highly; loudly,aqle,,,,высоко; выше; громко
SN000129,opportunity; possibility; strength,aqri,,,,возможность; сила
SN000130,poplar,aqterek,,,Plant,тополь
